id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
184784,2 bd Apt at Yonge & Bloor Yorkville,656777,Pere,,Church-Yonge Corridor,43.67005,-79.38372,Entire home/apt,199,180,62,2019-08-04,0.54,1,124,0,
192335,Studio Loft- 2 flr- Liberty Village,140602,Mario,,South Parkdale,43.63677,-79.42099,Entire home/apt,85,28,55,2019-08-11,0.45,1,0,0,
192860,"Modern, Clean & Quiet 2bd @ High Park",533496,Paul,,Junction Area,43.66492,-79.47384,Entire home/apt,135,3,111,2018-11-07,0.94,1,16,5,STR-2010-FPPDPC
196584,Spacious 1 Bedroom Suite on Subway Line!,957466,Karen,,Oakridge,43.69431,-79.28563,Entire home/apt,79,7,23,2021-12-03,0.49,1,303,4,STR-2012-HLWPHK
207206,Beautiful Newly Renovated 2BDM Home,1019538,Stefan,,Little Portugal,43.6471,-79.4376,Entire home/apt,250,4,18,2013-08-08,0.23,2,360,1,STR-2010-GPKRPG
209226,Boutique living - King West Central,1028504,Cindy,,Niagara,43.63748,-79.41404,Entire home/apt,155,28,37,2019-12-16,0.32,1,332,0,
224775,"Location, Location downtown Toronto /  Lower Rate",1170217,Frank,,Church-Yonge Corridor,43.6619,-79.37727,Private room,75,28,27,2021-09-01,0.34,2,291,1,
228568,BEST VIEW in the City! Luxury condo,934821,Rob,,Cabbagetown-South St.James Town,43.66593,-79.37655,Entire home/apt,260,12,57,2018-09-11,0.69,1,104,1,STR-2104-FLPKVB
239449,Prime Annex 1 BR +balcony - Work from home!,349772,Steven,,Annex,43.66701,-79.40625,Entire home/apt,90,30,27,2019-12-22,0.38,1,188,3,
248940,Basement Apartment perfect for 3,1304211,Nadia,,Caledonia-Fairbank,43.68238,-79.46038,Entire home/apt,47,7,72,2019-07-30,0.70,1,28,15,STR-2012-GZXRVH
251549,Room in mid-town apartment,1319225,Kathleen,,Annex,43.66584,-79.41251,Private room,65,28,19,2018-09-29,0.21,1,252,0,
266300,FURNISHED ONE-BDRM TORONTO KING W,1396237,Jonathan,,Niagara,43.63999,-79.41465,Entire home/apt,105,30,5,2017-06-16,0.10,1,0,0,
